date,USSR,United States,United Kingdom,France,Japan,European Collaboration,Germany,China,Italy,India,Israel,Russia,Brazil,North Korea,Iran,South Korea,Taiwan,Australia
01/11/1963,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1963,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1964,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1964,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1964,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1964,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1964,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1964,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1964,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1964,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1964,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1964,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1964,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1964,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1965,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1965,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1965,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1965,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1965,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1965,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1965,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1965,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1965,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1965,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1965,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1965,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1966,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1966,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1966,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1966,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1966,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1966,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1966,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1966,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1966,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1966,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1966,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1966,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1967,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1967,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1967,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1967,4,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1967,7,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
