CountryName,ISO_A3,sqrKm,population
St. Lucia,LCA,620,178844
Isle of Man,IMN,570,84287
Guam,GUM,540,164229
Andorra,AND,470,76965
Northern Mariana Islands,MNP,460,55144
Palau,PLW,460,21729
Seychelles,SYC,460,95843
Curacao,CUW,444,161014
Antigua and Barbuda,ATG,440,102012
Barbados,BRB,430,285719
St. Vincent and the Grenadines,VCT,390,109897
Virgin Islands (U.S.),VIR,350,107268
Grenada,GRD,340,107825
Malta,MLT,320,465292
Maldives,MDV,300,436330
Cayman Islands,CYM,260,61559
St. Kitts and Nevis,KNA,260,55345
American Samoa,ASM,200,55641
Channel Islands,CHI,198,165314
Aruba,ABW,180,105264
Marshall Islands,MHL,180,53127
Liechtenstein,LIE,160,37922
British Virgin Islands,VGB,150,31196
San Marino,SMR,60,33400
St. Martin (French part),MAF,53,32125
Sint Maarten (Dutch part),SXM,37,41109
Macao SAR,MAC,30,622567
Tuvalu,TUV,30,11192
Nauru,NRU,20,13649
Gibraltar,GIB,10,34571
