Name,Symbol,Date,High
Bitcoin,BTC,01.09.2013  .,145.8099976
Bitcoin,BTC,02.09.2013  .,146.5
Bitcoin,BTC,03.09.2013  .,138.3399963
Bitcoin,BTC,04.09.2013  .,144.5
Bitcoin,BTC,05.09.2013  .,131.4400024
Bitcoin,BTC,06.09.2013  .,127.3399963
Bitcoin,BTC,07.09.2013  .,125.9400024
Bitcoin,BTC,08.09.2013  .,124.7200012
Bitcoin,BTC,09.09.2013  .,129.0599976
Bitcoin,BTC,10.09.2013  .,129.7400055
Bitcoin,BTC,11.09.2013  .,137.8300018
Bitcoin,BTC,12.09.2013  .,136.0800018
Bitcoin,BTC,13.09.2013  .,137.5800018
Bitcoin,BTC,14.09.2013  .,135.8500061
Bitcoin,BTC,15.09.2013  .,131.4400024
Bitcoin,BTC,16.09.2013  .,132.7200012
Bitcoin,BTC,17.09.2013  .,132.7599945
Bitcoin,BTC,18.09.2013  .,133.1999969
Bitcoin,BTC,19.09.2013  .,131.7700043
Bitcoin,BTC,20.09.2013  .,135.6199951
Bitcoin,BTC,21.09.2013  .,128.6100006
Bitcoin,BTC,22.09.2013  .,133.9400024
Bitcoin,BTC,23.09.2013  .,132.7250061
Bitcoin,BTC,24.09.2013  .,127.4599991
Bitcoin,BTC,25.09.2013  .,129.6900024
Bitcoin,BTC,26.09.2013  .,134.9340057
Bitcoin,BTC,27.09.2013  .,134.7400055
Bitcoin,BTC,28.09.2013  .,135.6300049
Bitcoin,BTC,29.09.2013  .,140.6100006
Bitcoin,BTC,30.09.2013  .,138.3500061
Bitcoin,BTC,01.10.2013  .,134.6300049
Bitcoin,BTC,02.10.2013  .,133.5899963
Bitcoin,BTC,03.10.2013  .,123.6299973
Bitcoin,BTC,04.10.2013  .,130.0899963
Bitcoin,BTC,05.10.2013  .,130.4400024
Bitcoin,BTC,06.10.2013  .,129.6600037
Bitcoin,BTC,07.10.2013  .,130.2700043
Bitcoin,BTC,08.10.2013  .,127.4700012
Bitcoin,BTC,09.10.2013  .,131.75
Bitcoin,BTC,10.10.2013  .,131.5
Bitcoin,BTC,11.10.2013  .,131.8099976
Bitcoin,BTC,12.10.2013  .,135.6600037
Bitcoin,BTC,13.10.2013  .,138.6600037
Bitcoin,BTC,14.10.2013  .,144.1199951
Bitcoin,BTC,15.10.2013  .,145.3899994
Bitcoin,BTC,16.10.2013  .,152.2299957
Bitcoin,BTC,17.10.2013  .,147.4199982
Bitcoin,BTC,18.10.2013  .,155.9600067
Bitcoin,BTC,19.10.2013  .,177.4799957
Bitcoin,BTC,20.10.2013  .,174.9100037
Bitcoin,BTC,21.10.2013  .,184.8200073
Bitcoin,BTC,22.10.2013  .,196.2700043
Bitcoin,BTC,23.10.2013  .,213.6199951
Bitcoin,BTC,24.10.2013  .,217.4199982
Bitcoin,BTC,25.10.2013  .,198.8699951
Bitcoin,BTC,26.10.2013  .,188.4100037
Bitcoin,BTC,27.10.2013  .,196.4400024
Bitcoin,BTC,28.10.2013  .,198.6199951
Bitcoin,BTC,29.10.2013  .,204.7899933
Bitcoin,BTC,30.10.2013  .,209.1600037
Bitcoin,BTC,31.10.2013  .,205.1799927
Bitcoin,BTC,01.11.2013  .,206.6499939
Bitcoin,BTC,02.11.2013  .,207.7599945
Bitcoin,BTC,03.11.2013  .,215.0500031
Bitcoin,BTC,04.11.2013  .,231.0099945
Bitcoin,BTC,05.11.2013  .,250.6600037
Bitcoin,BTC,06.11.2013  .,263
Bitcoin,BTC,07.11.2013  .,304.1700134
Bitcoin,BTC,08.11.2013  .,338.6600037
Bitcoin,BTC,09.11.2013  .,370.8200073
Bitcoin,BTC,10.11.2013  .,350.7000122
Bitcoin,BTC,11.11.2013  .,351.269989
Bitcoin,BTC,12.11.2013  .,362.8099976
Bitcoin,BTC,13.11.2013  .,414.0499878
Bitcoin,BTC,14.11.2013  .,425.8999939
Bitcoin,BTC,15.11.2013  .,437.8900146
Bitcoin,BTC,16.11.2013  .,450.2600098
Bitcoin,BTC,17.11.2013  .,500.5799866
Bitcoin,BTC,18.11.2013  .,703.7800293
Bitcoin,BTC,19.11.2013  .,806.1099854
Bitcoin,BTC,20.11.2013  .,599.6500244
Bitcoin,BTC,21.11.2013  .,733.4000244
Bitcoin,BTC,22.11.2013  .,780.8499756
Bitcoin,BTC,23.11.2013  .,844.9699707
Bitcoin,BTC,24.11.2013  .,807.3599854
Bitcoin,BTC,25.11.2013  .,810.6799927
Bitcoin,BTC,26.11.2013  .,928.539978
Bitcoin,BTC,27.11.2013  .,1001.960022
Bitcoin,BTC,28.11.2013  .,1077.560059
Bitcoin,BTC,29.11.2013  .,1146.969971
Bitcoin,BTC,30.11.2013  .,1156.140015
Bitcoin,BTC,01.12.2013  .,1133.079956
Bitcoin,BTC,02.12.2013  .,1055.420044
Bitcoin,BTC,03.12.2013  .,1096
Bitcoin,BTC,04.12.2013  .,1156.119995
Bitcoin,BTC,05.12.2013  .,1154.359985
Bitcoin,BTC,06.12.2013  .,1042.380005
Bitcoin,BTC,07.12.2013  .,854.6400146
Bitcoin,BTC,08.12.2013  .,802.5100098
Bitcoin,BTC,09.12.2013  .,921.9299927
Bitcoin,BTC,10.12.2013  .,997.2299805
Bitcoin,BTC,11.12.2013  .,1001.580017
Bitcoin,BTC,12.12.2013  .,901.9400024
Bitcoin,BTC,13.12.2013  .,941.789978
Bitcoin,BTC,14.12.2013  .,904.6500244
Bitcoin,BTC,15.12.2013  .,886.1599731
Bitcoin,BTC,16.12.2013  .,882.25
Bitcoin,BTC,17.12.2013  .,754.8300171
Bitcoin,BTC,18.12.2013  .,679.3200073
Bitcoin,BTC,19.12.2013  .,707.2299805
Bitcoin,BTC,20.12.2013  .,729.1599731
Bitcoin,BTC,21.12.2013  .,654.2700195
Bitcoin,BTC,22.12.2013  .,666.7399902
Bitcoin,BTC,23.12.2013  .,680.9099731
Bitcoin,BTC,24.12.2013  .,684.3900146
Bitcoin,BTC,25.12.2013  .,682.7000122
Bitcoin,BTC,26.12.2013  .,777.75
Bitcoin,BTC,27.12.2013  .,777.5100098
Bitcoin,BTC,28.12.2013  .,747.0599976
Bitcoin,BTC,29.12.2013  .,748.6099854
Bitcoin,BTC,30.12.2013  .,766.5999756
Bitcoin,BTC,31.12.2013  .,760.5800171
Bitcoin,BTC,01.01.2014  .,775.3499756
Bitcoin,BTC,02.01.2014  .,820.3099976
Bitcoin,BTC,03.01.2014  .,834.1500244
Bitcoin,BTC,04.01.2014  .,859.5100098
Bitcoin,BTC,05.01.2014  .,952.4000244
Bitcoin,BTC,06.01.2014  .,1017.119995
Bitcoin,BTC,07.01.2014  .,965.7399902
Bitcoin,BTC,08.01.2014  .,870.6799927
Bitcoin,BTC,09.01.2014  .,864.3599854
Bitcoin,BTC,10.01.2014  .,871.1900024
Bitcoin,BTC,11.01.2014  .,921.4799805
Bitcoin,BTC,12.01.2014  .,928.5200195
Bitcoin,BTC,13.01.2014  .,861.289978
Bitcoin,BTC,14.01.2014  .,855.6900024
Bitcoin,BTC,15.01.2014  .,872.8099976
Bitcoin,BTC,16.01.2014  .,866.1599731
Bitcoin,BTC,17.01.2014  .,842.9099731
Bitcoin,BTC,18.01.2014  .,841.4899902
Bitcoin,BTC,19.01.2014  .,870.960022
Bitcoin,BTC,20.01.2014  .,886.3900146
Bitcoin,BTC,21.01.2014  .,881.2000122
Bitcoin,BTC,22.01.2014  .,870.1500244
Bitcoin,BTC,23.01.2014  .,851.5700073
Bitcoin,BTC,24.01.2014  .,822.4299927
Bitcoin,BTC,25.01.2014  .,861.4500122
Bitcoin,BTC,26.01.2014  .,897.0200195
Bitcoin,BTC,27.01.2014  .,893
Bitcoin,BTC,28.01.2014  .,832.5
Bitcoin,BTC,29.01.2014  .,836.8699951
